,상호명,도로명주소,위도,경도
206,신장군마라탕,서울특별시 동대문구 경희대로 14,37.59276429,127.0527196
207,미미마라탕,서울특별시 성동구 왕십리로21길 30,37.56033611,127.0316701
208,마라공방,서울특별시 종로구 종로 19,37.57083882,126.9799024
209,신마라명가숙대,서울특별시 용산구 청파로47나길 7,37.54528852,126.9668068
210,마라영웅,서울특별시 영등포구 디지털로 359-1,37.48973062,126.9000189
211,라푸마라탕우육면,서울특별시 광진구 아차산로 475,37.54061529,127.0945238
212,마라품격,서울특별시 강남구 영동대로85길 30,37.50680796,127.0610909
213,알라딘마라탕,서울특별시 구로구 가마산로 280,37.49606688,126.8915461
214,마라하오,서울특별시 강북구 삼양로79길 35-35,37.62920567,127.0156982
215,소림마라,서울특별시 성동구 독서당로39길 43-1,37.5408727,127.0109198
216,피슈마라홍탕방,서울특별시 송파구 오금로13길 9,37.51343004,127.1086865
217,신룽푸마라탕,서울특별시 강남구 강남대로 438,37.50163375,127.0263214
218,라향각마라탕,서울특별시 중구 세종대로21길 67,37.5692977,126.9757011
219,홍리마라탕,서울특별시 강남구 학동로 343,37.5174289,127.0405958
220,탕화쿵푸마라탕,서울특별시 강동구 올림픽로70길 52,37.53907204,127.1264976
221,미친마라탕,서울특별시 관악구 남부순환로181길 42,37.48648919,126.9306983
222,훠궈나라,서울특별시 강남구 봉은사로2길 35,37.50242827,127.0265147
223,일구마라탕,서울특별시 성동구 왕십리로 222,37.55449264,127.0465947
224,마부마라탕,서울특별시 금천구 가산디지털1로 5,37.46673727,126.8867002
225,마부마라탕,서울특별시 강동구 천호대로158길 18,37.5366731,127.1262088
226,이대마라탕,서울특별시 서대문구 신촌역로 23,37.5587145,126.9424341
227,소림마라,서울특별시 광진구 아차산로33길 44,37.54221541,127.0708427
228,마라상하이,서울특별시 양천구 오목로48길 10,37.52498738,126.8628014
229,유미마라탕,서울특별시 강동구 천호옛길 90,37.53673432,127.1259591
230,마라하오,서울특별시 서대문구 연세로9길 10-7,37.55886539,126.9361616
231,소림마라,서울특별시 강북구 도봉로95길 33,37.64186976,127.0271114
232,마라테이블딜리버리,서울특별시 강남구 선릉로 660,37.51554164,127.0423168
233,마라차이즈,서울특별시 강남구 테헤란로64길 13,37.50417224,127.0514876
234,마라박사마라,서울특별시 영등포구 문래로 89,37.5196418,126.8919328
235,대길마라탕,서울특별시 송파구 마천로7가길 3-1,37.50870535,127.1275755
236,마부마라탕,서울특별시 마포구 백범로 152,37.54473719,126.9482444
237,라왕푸마라탕,서울특별시 은평구 통일로65길 17-1,37.60888728,126.9287898
238,조선마라탕,서울특별시 강서구 양천로24길 99,37.56880709,126.8153961
239,마유유마라탕,서울특별시 강남구 언주로98길 19,37.50496332,127.0434359
240,착한마라탕,서울특별시 강북구 도봉로68길 34,37.63131184,127.0262861
241,향리원마라탕,서울특별시 은평구 서오릉로 159,37.61214332,126.9153439
