,상호명,도로명주소,위도,경도
179,콘레드커피,서울특별시 노원구 광운로 27,37.62020966,127.0583072
180,청수당휴족,서울특별시 종로구 돈화문로11나길 31-21,37.57388497,126.9894042
181,투썸플레이스,서울특별시 영등포구 신길로 162,37.50664914,126.9113526
182,그린랩,서울특별시 성동구 서울숲2길 18-11,37.5468389,127.0405585
183,빵,서울특별시 성동구 장터길 29,37.54841103,127.0191494
184,컴포즈커피방배우성점,서울특별시 서초구 과천대로 946,37.47499556,126.9821336
185,엠티엘컴퍼니,서울특별시 용산구 이태원로49길 24,37.53712338,126.9990432
186,그린트리,서울특별시 관악구 인헌1길 29,37.47480476,126.968445
187,빽다방화양,서울특별시 성동구 아차산로17길 57,37.54745505,127.0657078
188,꾸꾸케이크,서울특별시 강서구 마곡중앙6로 70,37.55984609,126.8348359
189,컴포즈커피문래SK,서울특별시 영등포구 선유로9길 10,37.51775005,126.887187
190,바그,서울특별시 용산구 원효로63길 18,37.53736708,126.9635782
191,레인보우식스,서울특별시 마포구 와우산로37길 32,37.55655037,126.9292565
192,카페그대로,서울특별시 영등포구 대방천로 211-8,37.4986329,126.9146243
193,팔공티,서울특별시 서대문구 이화여대길 48,37.55904247,126.9458589
194,아임그린떡케이크하우스,서울특별시 성북구 성북로23나길 4,37.59232244,126.9928237
195,어버드커피,서울특별시 성북구 화랑로 177-1,37.60748399,127.0500639
196,르보네르,서울특별시 송파구 석촌호수로20길 18,37.50578564,127.1022852
197,와리가리커피,서울특별시 강남구 학동로20길 42,37.51089767,127.0275471
198,루나모디카,서울특별시 강남구 역삼로77길 21,37.5037934,127.0559373
199,트리플에이커피공릉역점,서울특별시 노원구 동일로 1093,37.62755128,127.0717187
200,한티역밀도,서울특별시 강남구 선릉로 312,37.49753156,127.0526233
201,파리바게뜨오금현대,서울특별시 송파구 마천로 76,37.50731667,127.1286549
202,밍스케이크,서울특별시 서대문구 통일로34길 43,37.58832518,126.948775
203,몽바커피,서울특별시 강남구 테헤란로21길 8,37.50079145,127.0345771
204,달콤,서울특별시 동대문구 약령시로 27,37.58283688,127.0329751
205,경성꽈배기우림점,서울특별시 중랑구 망우로62길 5,37.59882782,127.0974993
206,얀앤욘,서울특별시 마포구 대흥로21길 11,37.55329669,126.9451703
207,커피베이남영역점,서울특별시 용산구 한강대로 259,37.54157089,126.9723916
208,샐러드서울,서울특별시 구로구 개봉로 7,37.48619632,126.8561417
209,빚은정동점,서울특별시 중구 정동길 5,37.56785054,126.9698912
210,온더코너,서울특별시 광진구 아차산로21길 44,37.5437984,127.0659119
211,지앤,서울특별시 강남구 영동대로85길 20-7,37.5073707,127.0616041
212,떡그리다,서울특별시 양천구 목동서로 186,37.53030705,126.8716248
213,니캉내캉꽈배기,서울특별시 구로구 구로동로26길 62,37.48988391,126.8875214
214,커피이야기,서울특별시 마포구 서강로 115,37.55328208,126.9335134
215,지니앤캐터피스,서울특별시 강북구 도봉로19길 10-3,37.61837323,127.0285051
216,앳베이크샵,서울특별시 강남구 도산대로25길 17,37.52089438,127.0269422
217,소소라떼,서울특별시 중랑구 봉우재로70길 91,37.59155437,127.0972361
218,빌리엔젤종각역점,서울특별시 종로구 삼봉로 94,37.57183195,126.9822208
219,카페유틸리티,서울특별시 송파구 정의로7길 13,37.48528411,127.1151044
220,모먼트,서울특별시 중랑구 면목로 485,37.59520402,127.0855849
221,카페드리옹서래마을,서울특별시 서초구 서래로 47,37.49915416,126.9981026
222,케인다,서울특별시 송파구 마천로26길 10,37.50225355,127.1385986
223,다빈치,서울특별시 송파구 법원로11길 25,37.48494102,127.1162166
224,에스씨피스쿱,서울특별시 서초구 명달로20길 61,37.48656531,127.0075769
225,카페달싸,서울특별시 영등포구 당산로33길 9,37.52716413,126.8956342
226,메가엠지씨커피노량진점,서울특별시 동작구 노량진로16길 14,37.51296094,126.9436004
227,더쌍화피카디리,서울특별시 종로구 돈화문로5가길 1,37.57101707,126.9912089
228,클링크,서울특별시 마포구 와우산로29나길 8,37.55490073,126.9281823
229,카페레프kafferep,서울특별시 송파구 백제고분로44길 25,37.50653395,127.1130779
230,남산#52LAB,서울특별시 중구 퇴계로14길 19,37.55968121,126.983767
231,유끼노하나,서울특별시 동대문구 장한로36길 10,37.5774168,127.0728056
232,스윗스마일,서울특별시 도봉구 도봉로104길 53,37.64333126,127.0350129
233,이디야화곡본동,서울특별시 강서구 까치산로4길 11,37.54221522,126.8442421
234,행복한날에,서울특별시 관악구 양녕로 35,37.4851908,126.9466487
235,카페64,서울특별시 노원구 화랑로 574,37.6237507,127.0986821
236,더바른차담소,서울특별시 중랑구 동일로 467,37.5721466,127.0798331
237,지온에프앤비,서울특별시 강북구 삼양로19길 132,37.61649487,127.0160356
238,커피홀,서울특별시 도봉구 도봉로136가길 69,37.65611557,127.0425881
239,메가엠지씨커피배봉,서울특별시 동대문구 한천로 189,37.57796355,127.0678627
240,너섬카페,서울특별시 영등포구 국제금융로7길 22,37.52323722,126.9330588
241,오피커피,서울특별시 노원구 노원로26나길 12,37.65357272,127.0705109
242,카페줌마,서울특별시 중랑구 동일로 790,37.60103399,127.0798171
243,커피다동,서울특별시 중구 다동길 22-1,37.56770836,126.9804998
244,공차녹번역점,서울특별시 은평구 은평로 226,37.60084044,126.932699
245,윈썸,서울특별시 강남구 강남대로44길 14,37.48585489,127.034939
246,컴포즈커피신림,서울특별시 관악구 난우길 14,37.4742801,126.9188318
247,씨더메종,서울특별시 양천구 남부순환로83길 17,37.51648475,126.8408836
248,이디야커피하월곡동점,서울특별시 성북구 오패산로 16,37.60364266,127.0374738
249,카페474-1,서울특별시 영등포구 당산로27길 23-1,37.52523544,126.8936602
250,그리네,서울특별시 광진구 동일로22길 117-7,37.54098761,127.0705411
251,뉴타입그루브,서울특별시 동작구 사당로17라길 8,37.48556178,126.9724016
